Id,gripForce
0,35.36585282172854
1,33.9901840069346
2,52.795443145088605
3,37.42267803996413
4,45.31607871514099
5,42.845217251676154
6,37.903494324746475
7,41.9770767374858
8,41.8435166583796
9,40.57469590687062
10,46.25099926888445
11,61.343288207885884
12,55.06596448989413
13,33.82991191200715
14,42.64487713301684
15,42.444537014357536
16,42.845217251676154
17,37.83671428519337
18,36.63467357323751
19,44.581498280056856
20,55.666984845872065
21,43.91369788452582
22,56.20122516229689
23,54.5317241734693
24,33.89669195156026
25,60.60870777280174
26,51.459842354026534
27,37.235693929215444
28,43.84691784497271
29,34.83161250530371
30,54.93240441078793
31,45.58319887335341
32,42.444537014357536
33,42.37775697480443
34,50.39136172117687
35,38.11719045131641
36,29.769685507178448
37,60.07446745637691
38,29.021749064183687
39,40.24079570910511
40,33.162111516476116
41,45.64997891290651
42,52.86222318464171
43,39.37265519491476
44,33.96347199111336
45,52.12764274955757
46,37.235693929215444
47,35.36585282172854
48,34.36415222843198
49,43.91369788452582
50,49.79034136519894
51,36.96857377100303
52,39.63977535312718
53,45.71675895245961
54,40.97537614418925
55,48.655080692796176
56,39.50621527402097
57,52.39476290776998
58,34.89839254485681
59,56.334785241403104
60,54.73206429212861
61,32.16041092317956
62,56.06766508319068
63,53.26290342196034
64,48.655080692796176
65,57.47004591380587
66,38.17061448295889
67,32.427531081391976
68,55.934105004084486
69,43.31267752854788
70,59.60700717950519
71,44.28766610602319
72,56.401565280956206
73,52.795443145088605
74,69.62401311247075
75,35.81995709068964
76,37.302473968768545
77,45.31607871514099
78,50.93895804551232
79,64.34838998777555
80,44.381158161397536
81,47.98728029726514
82,41.8435166583796
83,42.24419689569822
84,48.18762041592445
85,43.17911744944167
86,34.03025203066647
87,41.24249630240166
88,34.564492347091296
89,38.571294720277514
90,31.75973068586094
91,49.65678128609273
92,36.90179373144992
93,36.501113494131296
94,51.86052259134515
95,36.76823365234372
96,57.60360599291208
97,46.65167950620307
98,55.33308464810655
99,34.6312723866444
