ID,Label
0,1
1,3
2,1
3,1
4,0
5,1
6,2
7,1
8,3
9,2
10,2
11,0
12,0
13,1
14,2
15,3
16,2
17,1
18,0
19,3
20,2
21,3
22,0
23,1
24,1
25,2
26,2
27,2
28,0
29,2
30,1
31,2
32,0
33,3
34,2
35,3
36,0
37,1
38,0
39,1
40,0
41,2
42,0
43,2
44,1
45,0
46,0
47,2
48,2
49,1
50,1
51,2
52,0
53,3
54,3
55,2
56,0
57,2
58,1
59,1
60,2
61,3
62,2
63,3
64,2
65,0
66,3
67,0
68,0
69,1
70,0
71,1
72,2
73,1
74,3
75,1
76,2
77,2
78,2
79,1
80,3
81,1
82,2
83,3
84,3
85,2
86,2
87,3
88,3
89,2
90,2
91,1
92,0
93,0
94,3
95,3
96,2
97,0
98,2
99,0
100,2
101,0
102,2
103,3
104,0
105,1
106,2
107,1
108,2
109,0
110,0
111,3
112,3
113,1
114,2
115,0
116,2
117,3
118,3
119,0
120,2
121,0
122,1
123,2
124,1
125,2
126,3
127,2
128,3
129,2
130,1
131,2
132,2
133,2
134,2
135,2
136,2
137,2
138,3
139,0
140,2
141,0
142,0
143,0
144,0
145,2
146,3
147,2
148,2
149,3
150,2
151,3
152,0
153,1
154,3
155,0
156,2
157,0
158,1
159,2
160,2
161,1
162,0
163,2
164,3
165,1
166,0
167,2
168,2
169,0
170,0
171,2
172,3
173,0
174,2
175,1
176,1
177,2
178,1
179,2
180,0
181,0
182,1
183,2
184,1
185,1
186,3
187,0
188,1
189,1
190,3
191,3
192,3
193,2
194,2
195,2
196,1
197,0
198,0
199,0
200,1
201,2
202,0
203,1
204,1
205,3
206,3
207,0
208,1
209,1
210,2
211,0
212,0
213,3
214,0
215,1
216,2
217,3
218,1
219,1
220,3
221,3
222,3
223,3
224,2
225,2
226,0
227,0
228,0
229,1
230,3
231,1
232,3
233,0
234,0
235,1
236,0
237,0
238,2
239,1
240,0
241,3
242,2
243,0
244,1
245,2
246,2
247,2
248,1
249,3
250,0
251,0
252,2
253,0
254,2
255,3
256,2
257,2
258,0
259,0
260,2
261,1
262,2
263,3
264,1
265,0
266,3
267,2
268,1
269,3
270,2
271,2
272,1
273,0
274,2
275,1
276,0
277,3
278,2
279,3
280,0
281,0
282,0
283,1
284,0
285,2
286,3
287,3
288,0
289,3
290,2
291,2
292,2
293,3
294,0
295,2
296,1
297,1
298,0
299,1
300,3
301,0
302,3
303,3
304,2
305,2
306,2
307,3
308,3
309,0
310,3
311,1
312,0
313,1
314,1
315,2
316,0
317,3
318,1
319,2
320,0
321,1
322,2
323,0
324,1
325,3
326,2
327,2
328,1
329,3
330,2
331,1
332,3
333,2
334,1
335,0
336,2
337,0
338,2
339,1
340,0
341,3
342,0
343,3
344,1
345,2
346,2
347,3
348,2
349,3
350,0
351,1
352,1
353,2
354,2
355,0
356,1
357,1
358,2
359,2
360,3
361,2
362,0
363,3
364,0
365,0
366,2
367,0
368,1
369,2
370,2
371,1
372,3
373,1
374,0
375,0
376,2
377,1
378,1
379,2
380,1
381,1
382,0
383,1
384,1
385,1
386,1
387,3
388,0
389,1
390,1
391,3
392,0
393,2
394,2
395,0
396,1
397,2
398,2
399,3
400,0
401,0
402,0
403,2
404,3
405,0
406,3
407,2
408,3
409,3
410,3
411,1
412,1
413,3
414,2
415,3
416,2
417,1
418,2
419,2
420,1
421,3
422,0
423,3
424,1
425,2
426,2
427,0
428,1
429,1
430,1
431,1
432,2
433,2
434,1
435,1
436,1
437,2
438,0
439,0
440,1
441,2
442,1
443,1
444,2
445,2
446,3
447,1
448,0
449,0
450,0
451,2
452,2
453,0
454,3
455,2
456,0
457,2
458,0
459,2
460,0
461,2
462,2
463,3
464,2
465,2
466,2
467,2
468,2
469,0
470,2
471,0
472,0
473,1
474,2
475,0
476,2
477,0
478,3
479,3
480,2
481,3
482,2
483,1
484,0
485,0
486,3
487,1
488,2
489,1
490,1
491,2
492,0
493,0
494,3
495,0
496,1
497,2
498,0
499,0
500,0
501,1
502,2
503,3
504,2
505,3
506,1
507,2
508,2
509,1
510,2
511,0
512,2
513,0
514,0
515,1
516,1
517,0
518,0
519,2
520,2
521,3
522,1
523,1
524,1
525,2
526,2
527,3
528,2
529,3
530,2
531,2
532,3
533,3
534,2
535,1
536,2
537,0
538,1
539,0
540,3
541,2
542,3
543,2
544,2
545,0
546,0
547,0
548,3
549,3
550,1
551,2
552,2
553,3
554,0
555,1
556,1
557,2
558,0
559,3
560,2
561,2
562,1
563,2
564,3
565,2
566,1
567,2
568,3
569,2
570,2
571,3
572,2
573,0
574,2
575,2
576,1
577,3
578,2
579,3
580,1
581,1
582,0
583,2
584,1
585,3
586,3
587,1
588,3
589,3
590,3
591,1
592,3
593,3
594,2
595,2
596,3
597,1
598,1
599,2
600,3
601,1
602,2
603,2
604,2
605,3
606,0
607,0
608,2
609,2
610,2
611,1
612,1
613,3
614,1
615,3
616,1
617,3
618,0
619,2
620,3
621,2
622,1
623,1
624,3
625,0
626,3
627,0
628,1
629,0
630,2
631,2
632,3
633,2
634,3
635,3
636,2
637,1
638,1
639,2
640,2
641,0
642,0
643,1
644,1
645,2
646,0
647,2
648,3
649,1
650,1
651,3
652,2
653,2
654,2
655,0
656,3
657,0
658,2
659,3
660,0
661,2
662,1
663,1
664,3
665,2
666,0
667,0
668,2
669,2
670,1
671,1
672,1
673,0
674,2
675,3
676,3
677,2
678,0
679,3
680,1
681,3
682,1
683,1
684,2
685,1
686,3
687,3
688,0
689,1
690,3
691,0
692,3
693,0
694,3
695,3
696,1
697,0
698,3
699,3
700,3
701,1
702,3
703,1
704,0
705,0
706,3
707,1
708,2
709,1
710,1
711,1
712,2
713,0
714,3
715,1
716,2
717,3
718,1
719,2
720,1
721,0
722,2
723,3
724,2
725,2
726,3
727,2
728,2
729,3
730,0
731,1
732,0
733,2
734,2
735,0
736,0
737,1
738,1
739,3
740,1
741,1
742,3
743,1
744,1
745,2
746,1
747,0
748,1
749,2
750,3
751,3
752,2
753,3
754,2
755,0
756,2
757,3
758,1
759,2
760,2
761,1
762,2
763,0
764,3
765,2
766,2
767,1
768,1
769,0
770,0
771,0
772,1
773,2
774,2
775,0
776,2
777,0
778,0
779,1
780,3
781,2
782,0
783,0
784,3
785,3
786,1
787,2
788,0
789,2
790,0
791,3
792,3
793,0
794,0
795,2
796,0
797,1
798,1
799,2
800,2
801,2
802,2
803,1
804,3
805,3
806,2
807,1
808,2
809,1
810,0
811,1
812,1
813,2
814,1
815,0
816,3
817,0
818,1
819,2
820,2
821,3
822,1
823,3
824,2
825,3
826,2
827,0
828,2
829,0
830,3
831,2
832,2
833,2
834,2
835,2
836,0
837,0
838,1
839,0
840,3
841,1
842,2
843,2
844,3
845,3
846,3
847,2
848,0
849,2
850,2
851,2
852,3
853,0
854,2
855,3
856,2
857,2
858,3
859,1
860,3
861,2
862,0
863,0
864,3
865,2
866,0
867,2
868,3
869,1
870,2
871,0
872,1
873,1
874,0
875,0
876,0
877,0
878,1
879,0
880,2
881,0
882,2
883,1
884,2
885,0
886,1
887,1
888,1
889,0
890,0
891,3
892,0
893,1
894,0
895,0
896,0
897,1
898,0
899,2
900,2
901,2
902,1
903,3
904,2
905,1
906,1
907,3
908,1
909,0
910,3
911,3
912,1
913,1
914,2
915,2
916,3
917,3
918,3
919,3
920,3
921,2
922,1
923,1
924,1
925,0
926,1
927,2
928,2
929,3
930,1
931,2
932,1
933,0
934,1
935,1
936,3
937,2
938,1
939,3
940,1
941,3
942,1
943,3
944,0
945,2
946,2
947,2
948,1
949,3
950,3
951,3
952,0
953,0
954,0
955,1
956,1
957,0
958,1
959,0
960,0
961,1
962,1
963,1
964,2
965,0
966,2
967,1
968,2
969,1
970,2
971,0
972,0
973,0
974,1
975,3
976,1
977,1
978,3
979,3
980,3
981,2
982,0
983,0
984,3
985,0
986,3
987,0
988,1
989,0
990,0
991,1
992,0
993,1
994,1
995,1
996,3
997,2
998,3
999,3
1000,0
1001,1
1002,2
1003,0
1004,3
1005,3
1006,2
1007,0
1008,1
1009,3
1010,1
1011,1
1012,3
1013,3
1014,3
1015,0
1016,1
1017,2
1018,2
1019,2
1020,1
1021,2
1022,0
1023,3
1024,0
1025,3
1026,3
1027,0
1028,0
1029,2
1030,0
1031,1
1032,1
1033,1
1034,2
1035,0
1036,1
1037,1
1038,2
1039,3
1040,0
1041,2
1042,1
1043,2
1044,2
1045,1
1046,2
1047,3
1048,3
1049,3
1050,2
1051,1
1052,2
1053,1
1054,1
1055,2
1056,0
1057,0
1058,1
1059,3
1060,2
1061,1
1062,1
1063,2
1064,3
1065,3
1066,0
1067,1
1068,2
1069,1
1070,2
1071,2
1072,2
1073,3
1074,1
1075,2
1076,2
1077,0
1078,3
1079,1
1080,1
1081,2
1082,1
1083,2
1084,0
1085,2
1086,3
1087,3
1088,2
1089,1
1090,2
1091,1
1092,3
1093,3
1094,2
1095,0
1096,0
1097,2
1098,0
1099,2
1100,2
1101,3
1102,0
1103,2
1104,3
1105,1
1106,2
1107,1
1108,2
1109,3
1110,0
1111,0
1112,1
1113,0
1114,0
1115,1
1116,1
1117,0
1118,2
1119,1
1120,3
1121,0
1122,2
1123,1
1124,2
1125,3
1126,1
1127,1
1128,2
1129,3
1130,1
1131,2
1132,2
1133,3
1134,1
1135,0
1136,2
1137,2
1138,1
1139,0
1140,2
1141,1
1142,2
1143,2
1144,2
1145,1
1146,0
1147,1
1148,3
1149,0
1150,2
1151,0
1152,3
1153,1
1154,2
1155,1
1156,1
1157,3
1158,0
1159,1
1160,2
1161,2
1162,0
1163,2
1164,0
1165,2
1166,1
1167,1
1168,1
1169,1
1170,0
1171,0
1172,3
1173,1
1174,2
1175,3
1176,1
1177,2
1178,1
1179,0
1180,1
1181,2
1182,3
1183,0
1184,1
1185,1
1186,0
1187,0
1188,3
1189,3
1190,2
1191,1
1192,3
1193,2
1194,0
1195,2
1196,0
1197,2
1198,3
1199,3
1200,2
1201,2
1202,2
1203,0
1204,3
1205,2
1206,3
1207,1
1208,0
1209,0
1210,3
1211,0
1212,2
1213,3
1214,0
1215,0
1216,1
1217,1
1218,3
1219,3
1220,2
1221,1
1222,0
1223,1
1224,2
1225,3
1226,0
1227,2
1228,2
1229,0
1230,1
1231,2
1232,1
1233,0
1234,0
1235,3
1236,3
1237,0
1238,1
1239,3
1240,0
1241,1
1242,2
1243,1
1244,3
1245,2
1246,0
1247,2
1248,3
1249,0
1250,0
1251,3
1252,3
1253,2
1254,3
1255,0
1256,0
1257,0
